Tempo	1A	2A	3A	4A	5A	6A	7A	8A	9A	10A	11A	12A
1830	0.898	4.41567		0.36167								
1831	1.3035	3.069		0.686								
1832	1.5375	2.41367		1.03233								
1833	1.412	3.26433		0.60033								
1834	1.482	2.75		0.31733								
1835	1.9535	2.28433		0.435								
1836	1.852	1.54133		0.872								
1837	1.3205	1.025		2.118								
1838	0.9065	1.031		1.081								
1839	0.7055	1.51767		0.638								
1840	0.532	1.998		1.05667								
1841	0.4075	2.16033		0.365								
1842	0.2875	2.478		0.44567								
1843	0.3185	2.374		1.08233								
1844	0.467	2.27767		1.63067								
1845	0.806	2.06167		1.29633								
1846	0.902	1.56567		0.73633								
1847	0.946	1.597		0.81433								
1848	0.9845	1.76233		0.44233								
1849	1.167	3.02633		0.34033								
1850	1.4915	4.07733		1.21867								
1851	1.0245	4.14233		1.531								
1852	1.318	3.54833		0.68967								
1853	0.869	3.60833		0.39467								
1854	0.5605	2.08867		0.77967								
1855	0.4355	1.08667		0.63567								
1856	0.4265	1.16933		1.29033								
1857	0.7565	0.9		1.14033								
1858	1.135	1.27967		0.907								
1859	1.143	1.23667		0.36433								
1860	1.2565	1.24533		0.63633								
1861	0.9915	1.64133		1.54333								
1862	0.7055	1.07967		1.82733								
1863	0.7495	0.70467		1.39867								
1864	0.476	0.968		1.05633								
1865	0.3195	1.67633		1.199								
1866	0.3495	2.42667		1.25167								
1867	0.3155	1.75967		3.40233								
1868	0.323	1.524		2.50367								
1869	0.349	0.72467		0.67267								
1870	0.3785	0.44067		0.54167								
1871	0.417	0.53833		0.66633								
1872	0.381	0.95833		0.831								
1873	0.535	0.88667		0.75733								
1874	0.4205	1.063		0.74433								
1875	0.59	1.28133		0.37933								
1876	0.3395	1.563		0.41367								
1877	0.2755	1.92667		0.49767								
1878	0.32	1.45967		1.62033								
1879	0.3015	1.198		0.45533								
1880	0.209	1.094		0.56833								
1881	0.2265	1.084		0.609								
1882	0.2195	1.00467		0.75333								
1883	0.23	1.40367		1.00933								
1884	0.3415	1.20333		0.957								
1885	0.324	1.231		1.88967								
1886	0.4135	1.19		2.27633								
1887	0.371	0.851		0.98667								
1888	0.4215	1.11967		1.157								
1889	0.4675	0.93467		1.75267								
1890	0.507	0.84567		1.573								
1891	0.353	0.76033		2.25067								
1892	0.5855	0.83167		2.12967								
1893	0.488	0.81767		2.86733								
1894	0.661	0.95667		2.46067								
1895	0.506	1.01267		1.19733								
1896	0.3145	1.254		1.55733								
1897	0.5185	1.30933		1.92667								
1898	0.408	1.19733		1.43367								
1899	0.279	0.901		2.07767								
1900	0.3015	0.89233		1.277								
1901	0.357	0.79633		2.45333								
1902	0.3485	0.88567		2.25433								
1903	0.3295	1.185		2.39633								
1904	0.294	0.89567		1.78767								
1905	0.3895	0.98533		1.55633								
1906	0.3035	1.182		0.907								
1907	0.363	0.61367		1.233								
1908	0.2825	0.58433		2.962								
1909	0.299	0.82467		5.06367								
1910	0.3835	1.03733		1.91933								
1911	0.4815	0.80667		3.96967								
1912	0.5035	1.31333		3.976								
1913	0.4705	1.136		4.45033								
1914	0.5025	0.91		4.36133								
1915	0.3355	0.84		4.814								
1916	0.281	0.42133		3.57233								
1917	0.244	0.311		2.61933								
1918	0.322	0.32033		4.42733								
1919	0.8675	0.28987		5.80233								
1920	1.063	0.29233		3.943								4.59
1921	2.0765	0.27933		2.39233								4.61
1922	1.5035	0.219		2.74533								3.35
1923	0.8055	0.29567		3.18567								3.797
1924	0.4845	0.28333		2.62433								3.68
1925	0.3685	0.21367	0.66	3.13533								4.152
1926	0.4745	0.30033	0.52933	3.01333								6.296
1927	0.6575	0.253	0.367	1.529								5.301
1928	0.435	0.25367	1.05333	0.87633								4.025
1929	0.3365	0.31867	0.967	1.236								3.157
1930	0.3585	0.37767	0.43067	2.596								2.775
1931	0.2755	0.34933	0.426	4.89267			1.237					4.029
1932	0.263	0.36567	1.38367	5.63933			3.185					3.177
1933	0.32	0.352	1.84833	5.22967			2.97				2.975	3.625
1934	0.5955	0.38367	2.091	4.28			3.536				0.755	3.503
1935	0.8025	0.421	2.42567	3.90733			2.6555				4.283	3.159
1936	1.696	0.36733	2.59633	3.97067			2.651		1.101		4.622	2.163
1937	0.914	0.47567	3.623	4.73367			4.0635		4.397		5.052	2.331
1938	1.74	0.37133	4.112	4.82833			5.167		4.55		7.438	3.85
1939	1.8375	0.368	3.129	4.97967			5.1095		6.9295		6.018	2.799
1940	1.731	0.49333	3.31267	4.70633	6.497		6.1245		7.3375		5.911	3.277
1941	1.996	0.321	3.581	4.62	6.076		6.7155		6.083		6.1175	3.442
1942	2.481	0.30933	3.268	4.71733	5.143		6.865		6.509		4.2985	2.884
1943	2.324	0.53067	3.86167	4.80733	2.921		6.851		4.11633	5.93	3.011	2.51
1944	2.3095	0.556	4.17667	4.34	1.865	2.516	6.058		1.63267	4.112	3.541	2.273
1945	1.9465	0.35567	3.807	2.533	4.405	0.987	6.125		4.799	5.506	2.8525	1.415
1946	2.0705	0.311	3.771	1.81833	5.6385	7.921	5.50533		4.03733	6.806	3.713	2.747
1947	1.682	0.54167	4.49267	2.329	7.154	7.19	5.84233		5.22833	8.009	5.56033	2.448
1948	1.368	0.62567	4.64067	2.98867	6.627	5.664	6.98667	4.521	6.31067	6.064	5.839	2.222
1949	0.8555	0.39067	5.194	3.633	5.606	5.162	7.67833	3.311	6.344	5.334	4.40267	0.802
1950	0.7565	0.324	4.861	3.81767	6.0655	4.435	7.93367	3.3735	4.925	6.653	5.19167	0.579
1951	0.774	0.31867	5.48167	4.10633	8.0575	5.797	7.97533	3.6815	5.15333	6.342	5.39067	2.7675
1952	1.176	0.791	6.54133	4.98867	5.576	3.624	7.461	3.9025	5.70933	7.2925	3.84433	3.531
1953	1.2315	0.54767	6.20367	5.388	6.1125	5.571	6.49333	5.249	4.653	7.035	3.25633	2.7945
1954	1.028	0.41667	5.86733	3.291	6.722	6.136	5.93	5.257	4.62533	7.8905	3.79633	1.199
1955	1.691	0.458	5.82433	3.05067	6.558	5.2775	5.81867	5.7205	4.75033	6.797	3.33167	1.56
1956	1.9565	0.77267	6.61833	2.651	5.0765	4.2155	5.492	4.5215	4.43767	8.7185	3.21867	3.1195
1957	2.646	1.87267	4.86733	2.25367	5.5355	5.6505	5.16467	5.894	4.05833	5.996	4.35267	4.6165
1958	2.569	0.78567	7.185	2.375	4.8105	5.29367	5.33933	4.6895	5.02933	4.668	7.02733	4.853
1959	2.7315	0.63133	7.12567	3.08167	3.883	5.21633	4.72933	3.4235	4.749	5.363	6.51133	4.3485
1960	2.4155	0.69933	5.302	3.325	4.5675	5.83533	4.81233	4.6205	4.42233	6.616	7.802	3.341
1961	3.671	0.75333	4.424	4.68667	4.028	6.07733	5.23	5.057	5.105	5.96333	5.315	4.16
1962	3.4465	0.557	5.175	6.56967	3.3805	3.739	4.32167	4.105	5.73833	4.62867	6.33433	4.0515
1963	3.3115	0.74467	5.78567	6.16767	3.674	3.43633	3.83233	3.5975	4.825	4.09333	4.113	2.874
1964	2.9995	1.551	5.498	5.287	3.0845	3.77567	4.33933	4.0495	4.13567	5.28233	3.26767	2.9615
1965	3.23	1.88133	5.63833	4.14867	4.322	5.15167	2.759	4.978	3.782	4.91633	1.52767	4.098
1966	2.318	3.06167	8.36733	3.935	2.694	5.98833	2.89433	4.0935	4.76067	5.43233	2.10367	4.358
1967	2.2095	4.54467	5.267	3.582	2.505	4.94767	2.20167	3.8975	3.60967	4.567	3.14933	5.5275
1968	0.767	4.77067	4.516	2.62633	2.323	4.29767	1.40167	2.553	3.32167	4.4	2.04667	3.591
1969	1.2305	2.82767	3.189	2.74933	3.2935	4.44367	0.53733	2.225	2.46567	5.04	2.23133	2.0965
1970	0.381	1.73833	3.92567	0.71833	3.4055	4.19267	0.78667	2.754	3.90933	5.37433	2.47433	2.639
1971	0.542	0.869	4.75067	1.06533	3.6925	5.42	1.65833	3.1385	4.43967	6.39267	2.28267	2.105
1972	0.454	1.081	6.42933	1.82167	4.451	6.892	1.83533	3.099	4.64133	7.25433	4.481	1.366
1973	1.045	1.51533	7.71667	1.63867	3.4915	4.94267	1.65633	2.162	4.939	6.236	2.98733	2.7875
1974	0.774	1.617	8.513	2.109	2.774	4.17133	2.11867	1.553	3.99567	4.90233	2.64767	1.23
1975	1.031	1.69533	7.093	3.421	2.6495	4.35033	2.34733	1.3605	2.97933	4.948	3.97667	0.8375
1976	0.8335	1.79267	8.393	4.56267	1.9755	4.365	1.58633	1.1505	3.103	4.47633	2.75533	1.6405
1977	1.325	1.775	9.69533	4.13867	2.8395	3.97433	2.64633	1.2795	2.757	5.13333	2.298	2.6905
1978	1.3645	1.589	10.968	3.08933	2.6015	3.409	2.05533	0.887	2.736	4.58133	1.66967	1.222
1979	1.4465	2.05267	12.1723	3.52	2.4055	3.67333	3.23167	1.742	2.29033	3.87833	1.66533	1.113
1980	1.9435	2.79633	8.51167	3.58833	3.101	3.937	2.85733	2.557	2.17767	3.82833	3.31467	1.1275
1981	2.6965	3.11933	7.33167	3.04933	3.2755	3.87367	2.62467	2.3	2.08767	3.479	2.671	0.787
1982	2.0795	2.08567	7.15667	2.073	1.7905	2.96833	2.202	1.8285	1.935	2.98067	3.07167	1.1905
1983	1.626	1.39667	5.52033	1.64467	2.1535	2.91467	2.14967	1.9835	1.78233	3.28	2.945	0.817
1984	1.398	0.948	6.752	1.53133	3.0745	3.68533	1.92867	2.4495	1.386	2.948	2.06433	1.7575
1985	1.3025	1.18267	9.61033	1.548	2.6035	3.805	1.79633	2.127	1.09033	2.66633	2.137	0.7135
1986	1.2385	1.028	11.2846	2.08467	2.4625	2.94933	1.56567	0.875	0.72033	2.559	0.76033	1.0445
1987	0.994	1.322	8.32467	2.71967	2.333	3.49967	2.24367	1.3085	1.01667	2.89833	1.10367	0.934
1988	1.199	1.50033	5.741	2.93133	2.9295	3.96667	3.19367	1.953	0.927	3.32367	1.10967	0.8125
1989	1.6535	1.18733	5.782	3.34717	3.131	3.91267	3.33533	1.964	0.88567	3.28567	2.48033	1.551
1990	1.876	1.05833	4.762	2.63483	2.675	3.29033	2.989	1.8915	1.137	3.255	1.95467	1.1485
1991	1.3815	1.087	4.62567	2.08683	3.77	3.902	2.86567	2.0195	1.26467	3.319	3.78633	1.6445
1992	1.3295	1.72667	7.35633	1.94133	2.973	3.674	2.988	1.4975	1.08633	2.81367	1.94833	1.3585
1993	0.9785	2.16467	5.68567	2.21033	3.8305	4.132	2.72	1.8645	1.098	2.12033	2.117	1.9825
1994	0.7515	3.02333	6.583	2.221	4.4415	4.14267	2.66633	1.709	1.01567	2.14733	1.916	2.9505
1995	1.0555	2.56567	5.76767	2.13067	4.3615	3.66133	2.174	1.428	0.906	2.91367	2.41267	3.1475
1996	3.619	2.02967	4.10367	1.59733	5.357	3.30433	2.93967	1.4825	1.075	2.64867	2.02533	2.858
1997	4.6375	1.94667	2.79567	2.71833	4.5925	2.59433	2.66267	1.7115	0.96433	2.896	2.38733	3.264
1998	7.4305	1.79967	2.62967	3.22867	3.745	2.06667	2.63633	1.9385	0.922	2.774	2.38033	1.521
1999	5.731	2.212	2.55	4.23767	4.1115	3.09833	3.54533	2.2635	1.11433	2.841	2.981	1.7895
2000	3.73	2.96067	4.05767	3.74633	3.835	3.44033	2.435	1.567	1.25733	2.138	5.01267	1.75
2001	3.791	3.06067	3.593	3.30367	2.529	2.263	1.93367	1.417	1.386	1.79933	4.02133	0.612
2002	2.6165	3.053	2.848	2.149	3.2895	2.75533	2.91667	2.011	0.725	1.97867	3.207	0.9545
2003	2.4725	6.25067	2.84833	1.774	4.142	2.474	3.07633	1.8135	0.37533	1.724	4.12833	1.4875
2004	2.392	5.76167	3.057	2.05	4.342	3.06233	2.93933	2.2195	0.62267	2.09367	4.1265	2.6175
